Borough,Year,median_household_income,renter_median_income,population,pop_density_1000sqmi,homeownership_rate,crime_rate_per1000,car_free_commute_pct,mean_travel_time_min,high_cost_purchase_loan_pct,high_cost_refi_loan_pct,fha_va_loan_pct,housing_voucher_pct,unemployment_rate,new_building_permits,rental_vacancy_rate,severe_crowding_rate,subway_proximity_pct,park_proximity_pct,renter_income_ratio,cost_pressure_index,affordability_stress,income_growth_yoy,renter_income_growth_yoy,income_gap,renter_share,borough_code,market_tightness,housing_burden_composite,supply_pipeline_rate,government_support_index,economic_vulnerability_idx,permit_growth_yoy,affordability_stress_lag1,cost_pressure_index_lag1,median_household_income_lag1,crime_rate_per1000_lag1,unemployment_rate_lag1,rental_vacancy_rate_lag1,supply_pipeline_rate_lag1,affordability_category
Bronx,2005,36190.0,29390.0,1309640.0,,0.2098118365993286,17.80106999236159,0.6609942393988604,41.731962092686445,0.2985950560199182,0.3833282161498311,0.0152943268717766,,0.1103874522996193,0,,,0.7733529792757421,0.8665501643660081,0.8121027908261951,0.3409616360848746,0.4198503439915486,,,6800.0,0.7901881634006714,1,28.571428571428573,0.15700823579093126,0.0,0.0152943268717766,0.1193138645893697,,,,,,,,,Stressed
Bronx,2006,47691.79087449026,39340.35165835977,1361473.0,32.377494472116084,0.2147209555708,16.722236702740734,0.657713946862209,40.647579377132,0.341970802919708,0.3949394939493949,0.008941605839416,,0.117570453185354,3,,,0.7733529792757421,0.8665501643660081,0.8248872801168476,0.36845514843455146,0.4466733301819841,0.3178168243849202,0.33856249262877736,8351.439216130493,0.7852790444291999,1,28.571428571428573,0.16419123667666596,0.022034957725933602,0.008941605839416,0.11707326922740255,,0.4198503439915486,0.3409616360848746,36190.0,17.80106999236159,0.1103874522996193,,0.0,Stressed
Bronx,2007,50300.70769366353,41270.26093240504,1373659.0,32.667292468578154,0.213973492158843,16.187378244368542,0.6568462241798,41.3241178610404,0.1743849493487698,0.2950857672693556,0.0161601543656536,,0.100481245319389,0,,,0.7733529792757421,0.8665501643660081,0.8204707811219112,0.2347353583090627,0.28609837633472546,0.054703687392220424,0.049056736726835304,9030.446761258485,0.786026507841157,1,28.571428571428573,0.14710202881070095,0.0,0.0161601543656536,0.11200418567899113,-1.0,0.4466733301819841,0.36845514843455146,47691.79087449026,16.722236702740734,0.117570453185354,,0.022034957725933602,Stressed
Bronx,2008,49657.4967427539,40485.183169198666,1391903.0,33.10115712042897,0.215584404622228,15.892076109605306,0.654003923334909,41.1926900900431,0.0834264432029795,0.1316359696641386,0.1229050279329608,,0.0902658897680929,4,,,0.7733529792757421,0.8665501643660081,0.8152884423258071,0.10753120643355904,0.13189345126345753,-0.012787314143308803,-0.019022844669972505,9172.313573555235,0.7844155953777721,1,28.571428571428573,0.13688667325940485,0.02873763473460435,0.1229050279329608,0.10999097897691432,,0.28609837633472546,0.2347353583090627,50300.70769366353,16.187378244368542,0.100481245319389,,0.0,Stressed
Bronx,2009,46418.81827087512,38326.95970020057,1397287.0,33.22919523079757,0.206612884661665,14.802019505007332,0.676454705274859,42.2002491190174,0.0553543714433523,0.0480815930063137,0.3181583031557165,0.154163,0.133062104391158,0,0.0369220304130978,0.0376689617244744,0.7733529792757421,0.8665501643660081,0.8256771957559359,0.051717982224832995,0.06263704809902543,-0.06522033296717433,-0.05330897133349477,8091.858570674551,0.793387115338335,1,23.85380646276063,0.1707310661156324,0.0,0.4723213031557165,0.13048775579898372,-1.0,0.13189345126345753,0.10753120643355904,49657.4967427539,15.892076109605306,0.0902658897680929,,0.02873763473460435,Moderate
Bronx,2010,45189.4791749701,37573.25922927461,1386657.0,32.9764008189814,0.187520130871857,14.320303440943237,0.694420214298175,42.8793223763485,0.0103601381351751,0.03125,0.4040453872718303,0.147969,0.157568087151554,1464,0.0373198562189911,0.0409845253791255,0.7733529792757421,0.8665501643660081,0.8314603291574553,0.02080506906758755,0.025022323180072796,-0.026483636199682192,-0.019665021092763912,7616.219945695491,0.812479869128143,1,23.629569883823198,0.1985526125306795,10.55776590750272,0.5520143872718303,0.1386400082734646,,0.06263704809902543,0.051717982224832995,46418.81827087512,14.802019505007332,0.133062104391158,0.0369220304130978,0.0,Affordable
Bronx,2011,43251.084386277944,35824.007851670045,1392002.0,33.103511461611454,0.190127970749543,14.538309274228885,0.69147305225376,41.708860122808,0.0148433205057724,0.0563858695652173,0.4601429356789445,0.14514,0.163094267202853,1098,0.0372490787958336,0.0434990186197019,0.7733529792757421,0.8665501643660081,0.8282799925135692,0.03561459503549485,0.04299825585236673,-0.04289482472649986,-0.046555753040493864,7427.076534607899,0.809872029250457,1,23.669155127202803,0.2065932858225549,7.8879197012647975,0.6052829356789444,0.14262551359965392,-0.25,0.025022323180072796,0.02080506906758755,45189.4791749701,14.320303440943237,0.157568087151554,0.0373198562189911,10.55776590750272,Affordable
Bronx,2012,42949.08760511188,35523.63228656943,1408473.0,33.495212003194155,0.191429015626773,14.848297635179913,0.700455946696541,42.8438206296295,0.0155131264916467,0.0489864864864864,0.4087112171837709,0.139246,0.154919414912683,2559,0.0357200988819825,0.0461056412880356,0.7733529792757421,0.8665501643660081,0.8271102895871841,0.03224980648906655,0.03899093856656363,-0.006982409469064588,-0.00838475600899613,7425.455318542452,0.8085709843732269,1,24.557897143085572,0.2010250562007186,18.168612390865853,0.5479572171837709,0.14034477838780668,1.330601092896175,0.04299825585236673,0.03561459503549485,43251.084386277944,14.538309274228885,0.163094267202853,0.0372490787958336,7.8879197012647975,Affordable
Bronx,2013,42953.611416757194,37303.49839389798,1418733.0,33.73920736210609,0.1852941848889,15.039505409224471,0.70344312128949,42.1718142244093,0.0479488545551411,0.0357561547479484,0.3724027703782632,0.140109,0.145815097408885,2630,0.0335463702499122,0.0498884342650509,0.7733529792757421,0.8665501643660081,0.8684601169378048,0.04185250465154475,0.04819162542445462,0.00010532963323695022,0.050103719489334786,5650.113022859216,0.8147058151111,1,25.9427799171902,0.19570353167393592,18.53766705927049,0.5125117703782632,0.12091967904144227,0.027745212973817823,0.03899093856656363,0.03224980648906655,42949.08760511188,14.848297635179913,0.154919414912683,0.0357200988819825,18.168612390865853,Affordable
Bronx,2014,43295.75301848364,35150.8293817008,1438159.0,34.20118142080232,0.181521723680711,14.756315107514538,0.707289845101686,43.0724775014511,0.1827079934747145,0.0618811881188118,0.3626971179989124,0.13938,0.119182920026996,2186,0.0320365733647246,0.0514071130374801,0.7733529792757421,0.8665501643660081,0.8118770764119602,0.12229459079676315,0.15063190518598754,0.007965374515470192,-0.05770689358586556,8144.923636782842,0.818478276319289,1,27.000338021347506,0.1705900330644761,15.19998831839873,0.5020771179989124,0.13320376005351037,-0.16882129277566538,0.04819162542445462,0.04185250465154475,42953.611416757194,15.039505409224471,0.145815097408885,0.0335463702499122,18.53766705927049,Stressed
