short_name,long_name,Borough,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
voucher_pct,"Housing choice vouchers (% of occupied, privately owned rental units)",Bronx,0.154163,0.147969,0.14514,0.139246,0.140109,0.13938,0.138367,0.138467,0.132925,0.139116,0.137989,0.133753,0.124571,,0.134789
voucher_pct,"Housing choice vouchers (% of occupied, privately owned rental units)",Brooklyn,0.0801525,0.0781407,0.0730029,0.0718595,0.069412,0.0664725,0.0659275,0.0657774,0.0639224,0.0632649,0.06274,0.0621578,0.0584026,,0.0626141
voucher_pct,"Housing choice vouchers (% of occupied, privately owned rental units)",Manhattan,0.0408129,0.0406015,0.0384022,0.038054,0.0399704,0.0371871,0.0381038,0.0375429,0.0373109,0.0374022,0.036353,0.037038,0.036479,,0.0360486
voucher_pct,"Housing choice vouchers (% of occupied, privately owned rental units)",Queens,0.0285911,0.0279205,0.0256468,0.0243882,0.0234933,0.024541,0.0249164,0.0248617,0.0244307,0.0241747,0.0236395,0.0231007,0.0215816,,0.0226278
voucher_pct,"Housing choice vouchers (% of occupied, privately owned rental units)",Staten Island,0.0523771,0.0535024,0.0516453,0.0470333,0.043624,0.0486864,0.0622954,0.0693682,0.0561656,0.0612956,0.0557523,0.05573,0.0589122,,0.0519862
