Model,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R²,Test R²
Random Forest,0.01457852206491973,0.012906253169808741,0.008630972569905398,0.012164916054727632,0.9844903238279755,0.5163351828722448
XGBoost,0.009110218845948483,0.006733283782102845,0.00378846103376188,0.004886972022816828,0.993943337794385,0.868356938301348
LSTM (3-Layer),,0.037402516303425754,,0.0349825421632712,,-6.604834904536264
