short_name,long_name,Borough,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
nb_permit_res_units,Units authorized by new residential building permits,Manhattan,1652,2296,2621,2942,0,0,0,0,60,0,906,2847,5454,3552,9105,10358,3787,4088,2885,4885,3039,2962,11984,2061,2347
nb_permit_res_units,Units authorized by new residential building permits,Bronx,3045,2952,5260,5770,4,0,3,0,4,0,1464,1098,2559,2630,2186,4923,3575,5300,4223,6122,5595,5817,11184,4860,3125
nb_permit_res_units,Units authorized by new residential building permits,Brooklyn,4980,4919,5618,4629,3,73,27,116,46,1,2095,1420,3657,6416,9343,26561,5079,5879,7817,10101,7292,8673,31298,5340,6588
nb_permit_res_units,Units authorized by new residential building permits,Queens,3207,3241,3618,4203,0,23,9,0,27,0,2502,3114,1438,3714,4669,12838,2295,5609,3880,6734,4856,5252,13795,3733,3240
nb_permit_res_units,Units authorized by new residential building permits,Staten Island,2660,2336,1762,2506,2,1,5,4,2,2,369,564,390,1247,696,650,789,664,709,577,406,410,816,426,326
