nta_code,nta_name,borough_name,rent_burden_50plus_pct,rank
BK0504,Spring Creek-Starrett City,Brooklyn,0.1728263759638394,171
MN0701,Upper West Side-Lincoln Square,Manhattan,0.1710336754907257,172
QN0203,Woodside,Queens,0.170880416226323,173
BK0101,Greenpoint,Brooklyn,0.1643706104808212,174
BX1004,Co-op City,Bronx,0.1642422926617455,175
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Brooklyn,0.1595654388049567,176
BK0801,Prospect Heights,Brooklyn,0.1417710196779964,177
QN0201,Long Island City-Hunters Point,Queens,0.1384115674769488,178
QN1301,Glen Oaks-Floral Park-New Hyde Park,Queens,0.1330951317552478,179
QN1306,Springfield Gardens (South)-Brookville,Queens,0.1328158689090125,180
BK0602,Park Slope,Brooklyn,0.1289362585646065,181
MN0601,Stuyvesant Town-Peter Cooper Village,Manhattan,0.1274371291325233,182
MN0102,Tribeca-Civic Center,Manhattan,0.1199717713479181,183
QN0574,Highland Park-Cypress Hills Cemeteries (North),Queens,0.0,184
BX0492,Claremont Park,Bronx,0.0,185
BX0391,Crotona Park,Bronx,0.0,186
QN1191,Alley Pond Park,Queens,0.0,187
BX0291,North & South Brother Islands,Bronx,0.0,188
BK5693,Shirley Chisholm State Park,Brooklyn,0.0,189
BK5692,Jamaica Bay (West),Brooklyn,0.0,190
BK5691,Barren Island-Floyd Bennett Field,Brooklyn,0.0,191
BK5591,Prospect Park,Brooklyn,0.0,192
BK1893,Canarsie Park & Pier,Brooklyn,0.0,193
BK1892,McGuire Fields,Brooklyn,0.0,194
BK1891,Marine Park-Plumb Island,Brooklyn,0.0,195
BK1771,Holy Cross Cemetery,Brooklyn,0.0,196
BK1391,Calvert Vaux Park,Brooklyn,0.0,197
BK1091,Dyker Beach Park,Brooklyn,0.0,198
BK0891,Lincoln Terrace Park,Brooklyn,0.0,199
BK0771,Green-Wood Cemetery,Brooklyn,0.0,200
QN1371,Montefiore Cemetery,Queens,0.0,201
BK0571,Highland Park-Cypress Hills Cemeteries (South),Brooklyn,0.0,202
BK0471,The Evergreens Cemetery,Brooklyn,0.0,203
BK0261,Brooklyn Navy Yard,Brooklyn,0.0,204
QN1491,Rockaway Community Park,Queens,0.0,205
QN8081,LaGuardia Airport,Queens,0.0,206
QN8191,Flushing Meadows-Corona Park,Queens,0.0,207
QN8291,Forest Park,Queens,0.0,208
QN8381,John F. Kennedy International Airport,Queens,0.0,209
QN8491,Jamaica Bay (East),Queens,0.0,210
BX0491,Yankee Stadium-Macombs Dam Park,Bronx,0.0,211
BX0991,Soundview Park,Bronx,0.0,212
QN0573,St. John Cemetery,Queens,0.0,213
QN1091,Spring Creek Park,Queens,0.0,214
QN0572,Middle Village Cemetery,Queens,0.0,215
QN0571,Mount Olivet & All Faiths Cemeteries,Queens,0.0,216
QN0271,Calvary & Mount Zion Cemeteries,Queens,0.0,217
QN0261,Sunnyside Yards (South),Queens,0.0,218
QN0191,Astoria Park,Queens,0.0,219
QN0171,St. Michael's Cemetery,Queens,0.0,220
QN0161,Sunnyside Yards (North),Queens,0.0,221
QN0151,Rikers Island,Bronx,0.0,222
QN0761,Fort Totten,Queens,0.0,223
QN0791,Kissena Park,Queens,0.0,224
MN6491,Central Park,Manhattan,0.0,225
MN1292,Inwood Hill Park,Manhattan,0.0,226
MN1291,Highbridge Park,Manhattan,0.0,227
MN1191,Randall's Island,Manhattan,0.0,228
MN0661,United Nations,Manhattan,0.0,229
QN0871,Mount Hebron & Cedar Grove Cemeteries,Queens,0.0,230
QN0891,Cunningham Park,Queens,0.0,231
MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,Manhattan,0.0,232
BX2891,Pelham Bay Park,Bronx,0.0,233
BX2791,Bronx Park,Bronx,0.0,234
BX2691,Van Cortlandt Park,Bronx,0.0,235
BX1271,Woodlawn Cemetery,Bronx,0.0,236
BX1161,Hutchinson Metro Center,Bronx,0.0,237
BX1091,Ferry Point Park-St. Raymond Cemetery,Bronx,0.0,238
BX1071,Hart Island,Bronx,0.0,239
QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,Queens,0.0,240
