iter	RMSE
0	0.1174948294
1	0.1081264815
2	0.1003109282
3	0.09279995897
4	0.08614902029
5	0.08035020087
6	0.07518843678
7	0.07074806191
8	0.06694506469
9	0.06343293585
10	0.06030088204
11	0.05720313831
12	0.05507950604
13	0.05273412905
14	0.05052408726
15	0.04880398669
16	0.04693489462
17	0.04554026704
18	0.04393896583
19	0.04271001483
20	0.0416370171
21	0.04043616201
22	0.03950248057
23	0.03869663861
24	0.03785830703
25	0.03739100316
26	0.03673524304
27	0.03602113088
28	0.03525212805
29	0.03461152693
30	0.03409145946
31	0.03350765301
32	0.03297351316
33	0.03242585683
34	0.03204665256
35	0.03164595715
36	0.03120281724
37	0.0309471321
38	0.03072140252
39	0.03025887357
40	0.03003717111
41	0.02966981077
42	0.02934457441
43	0.02903122072
44	0.02883191186
45	0.02842068
46	0.02813441868
47	0.02801733201
48	0.0278504349
49	0.02769155988
